handle,value_created_usd,distribution
peth-yursick,5624.90,initial
vbuterin,5622.20,initial
abouspeedalcuber,5581.02,initial
anonusergitcoin18-ezhk9f0hu5m2ipnxm4urpzzcjthpp1mx,5555.51,initial
anonusergitcoin17-9bmxewua7tt1ubzowa041eby3j5ifa4j,5527.59,initial
elektronaut0815,5503.16,initial
josh-richardson,5495.38,initial
hexloveseth,5459.19,initial
gasperx93,5443.47,initial
tcrowe,5414.06,initial
polats,5373.54,initial
asselstine,5367.87,initial
datakarima,5358.23,initial
garthtravers,5337.40,initial
k06a,5335.87,initial
bobface,5305.88,initial
tbenr,5297.04,initial
dcinvestor,5274.32,initial
davidhq,5243.91,initial
l-kh,5206.73,initial
travisdmathis,5162.17,initial
4-1-3-x,5153.19,initial
souptacular,5139.74,initial
artbynelly,5135.14,initial
hamzaghz,5112.48,initial
harmonylion,5107.49,initial
vyomshm,5101.56,initial
anurag-arjun,5096.31,initial
tima-t,5095.40,initial
b-mueller,5091.14,initial
robypsi,5090.59,initial
gabrielllemic,5083.47,initial
mraof,5081.68,initial
virgil,5080.23,initial
audsssy,5073.44,initial
tomcbean,5051.86,initial
danfinlay,5032.81,initial
alchemydc,5000.00,initial
blockchainbrett,5000.00,initial
nandit123,5000.00,initial
wesdoteth,4999.36,initial
brianspha,4986.06,initial
mingderwang,4978.20,initial
evgeniuz,4973.03,initial
writeprovidence,4910.50,initial
solsista,4890.71,initial
johngrantuk,4813.83,initial
sebaudet26,4800.25,initial
evesnow91,4758.95,initial
jasonchewyl,4745.76,initial
zayirey,4729.62,initial
ririen,4718.64,initial
augustol,4717.46,initial
aneopsy,4712.03,initial
jschiarizzi,4620.09,initial
directdimsim,4596.00,initial
tarun1475,4593.56,initial
currencytycoon,4560.49,initial
garoth,4559.48,initial
hello-shreyas,4528.41,initial
sunnyrk,4479.92,initial
wighawag,4473.00,initial
davis-ramsey,4438.79,initial
jonathanpdunne,4317.67,initial
ricburton,4304.55,initial
