handle,value_created_usd,distribution
trippy95,26.39,initial
frederikprijck,26.34,initial
jamal-malomalo,26.34,initial
bloxster,26.32,initial
lukeschwartz5,26.32,initial
drdent18,26.31,initial
kartojal,26.29,initial
ekellstrand,26.28,initial
klinko88,26.25,initial
goodnessezeokafor,26.22,initial
robfifth,26.21,initial
glcryptonics,26.20,initial
kpierce236,26.20,initial
praise-eze,26.20,initial
juanes-5,26.08,initial
princessxchloe,26.08,initial
nativekyberian,26.00,initial
albertocuestacanada,25.98,initial
labariya,25.98,initial
mohamed512147,25.98,initial
seesemichaelj,25.98,initial
airdropchaser,25.95,initial
dijxtra,25.95,initial
sastro145,25.90,initial
martin112112,25.84,initial
maxman111,25.84,initial
andre-nunes,25.83,initial
denverbdr,25.83,initial
noah-amar,25.77,initial
rosseta-stone,25.77,initial
stink3finger,25.75,initial
colon21,25.73,initial
sourcex4447,25.73,initial
nero2525,25.72,initial
sornajulia,25.71,initial
danylostefan,25.70,initial
intelliz,25.69,initial
zachdt,25.69,initial
sb777,25.67,initial
luna-crypto,25.65,initial
chadgainor,25.63,initial
pyr0gan,25.63,initial
l2assdi9a2,25.62,initial
ta7iya-ltalj,25.62,initial
martiego,25.60,initial
kobigurk,25.59,initial
shouquat,25.59,initial
paradigm1759,25.58,initial
str4d,25.56,initial
pseudoanonymous-eth,25.46,initial
tkendal,25.44,initial
alexzielonko,25.43,initial
coindreams,25.42,initial
ins-spacetime,25.38,initial
ronetconsulting,25.36,initial
goldfarbas,25.27,initial
hioma,25.26,initial
lander3,25.26,initial
n0shotcrypto,25.26,initial
switch26,25.26,initial
zero-x-seven,25.26,initial
edouardlvdl,25.25,initial
strawbelliefields,25.25,initial
cryptoserrano,25.16,initial
jeevanthandi,25.13,initial
yulesa,25.10,initial
jesusperezsanchez,25.07,initial
rorschach98,25.05,initial
khriwa-khikhi,25.04,initial
faridrached,25.00,initial
fatimes,25.00,initial
jclancy93,25.00,initial
joshpitzalis,25.00,initial
mikec,25.00,initial
pixelmayer,25.00,initial
toko926,25.00,initial
dk4gaming,24.99,initial
0xmaki,24.96,initial
badinsky,24.95,initial
3scava1i3r,24.94,initial
ecebelgin,24.93,initial
ryurockryan,24.89,initial
msanmiguel21,24.84,initial
3anz,24.80,initial
rosscopaddison,24.80,initial
madumas,24.75,initial
phongbuigk,24.75,initial
davibail,24.72,initial
darok445,24.70,initial
laurennignon,24.70,initial
yellowcandle,24.70,initial
jshscode,24.69,initial
bscharm,24.61,initial
vgcif,24.55,initial
fagun36,24.54,initial
lmryoul1,24.54,initial
severalpens,24.54,initial
lisa-sa,24.51,initial
cryptofear,24.50,initial
db-dbdbd,24.50,initial
dizzyd024red,24.44,initial
julia13131,24.42,initial
sarpani69,24.41,initial
suraj76,24.41,initial
eharris128,24.40,initial
market,24.40,initial
darthmike,24.38,initial
herjibenji99,24.33,initial
dangitcoin,24.28,initial
villageidiotduh,24.25,initial
seriouslydangerous,24.22,initial
bagio45,24.20,initial
ravioli-ravioli66,24.18,initial
phreaknik,24.15,initial
buddyhill,24.13,initial
bells41,24.10,initial
ezrael54,24.10,initial
vanmoortel,24.10,initial
legalbydesign,24.05,initial
kgcasals,24.04,initial
bheem0,24.02,initial
afdudley,24.00,initial
dge808,24.00,initial
drose8,24.00,initial
greyecologist,24.00,initial
heathslatarm,24.00,initial
iribilangboss69,24.00,initial
jackyparmean13,24.00,initial
kennyrowe,24.00,initial
lazymondaysunday,24.00,initial
magnusnilsson,24.00,initial
makerdao123,24.00,initial
msgmaxim,24.00,initial
pranavburnwal,24.00,initial
syawalchalise,24.00,initial
yalord89,24.00,initial
yefeng21,24.00,initial
zeebermanx,24.00,initial
nanopowered,23.96,initial
fredlacs,23.93,initial
anonusergitcoin73-syyw2kmmxrgenxz5ypjqdju4z1zyjvne,23.86,initial
alirezapaslar,23.84,initial
michael-a-heuer,23.80,initial
themire,23.79,initial
gitcointranslator,23.76,initial
abeltedros,23.75,initial
arthurs-aip,23.75,initial
best-coder-na,23.75,initial
chrissukitsa,23.75,initial
cryptojanne,23.75,initial
cryptosant,23.75,initial
diegomazo12,23.75,initial
enorage,23.75,initial
hrharder,23.75,initial
jajajaklava,23.75,initial
joramblings,23.75,initial
juanfranblanco,23.75,initial
livgrhm,23.75,initial
mrluit,23.75,initial
mwburge,23.75,initial
simonbyford,23.75,initial
skurekjakub,23.75,initial
thebitcoincpa,23.75,initial
unnawut,23.75,initial
ylv-io,23.75,initial
nikolay229,23.73,initial
taoteh1221,23.72,initial
azmodie,23.70,initial
mateodelnorte,23.64,initial
muzeume,23.58,initial
asteroxx,23.56,initial
rome4guest,23.55,initial
kielek,23.47,initial
bluegreenlight,23.45,initial
11alex11,23.39,initial
mohammedfota,23.36,initial
burjorjee,23.35,initial
robinsriv,23.31,initial
basaktpl,23.30,initial
zizouzzzzz,23.22,initial
sprusr,23.21,initial
fafrd,23.20,initial
pollker,23.20,initial
zippoxer,23.20,initial
portelos,23.14,initial
ryderalex,23.08,initial
puipo,23.07,initial
mohammed-t7,23.00,initial
mvmike,22.93,initial
miapenningway,22.88,initial
clminer,22.83,initial
1stcryptoking,22.80,initial
cardioth,22.80,initial
jpgelas,22.80,initial
dubwalla,22.79,initial
0xc0de4c0ffee,22.70,initial
layerstate,22.70,initial
mohsin7865,22.65,initial
nilmoni1567,22.65,initial
vanilladelphia,22.63,initial
chriswessels,22.60,initial
damesecrets,22.57,initial
fbront,22.57,initial
frank1003,22.57,initial
ilmawan16,22.53,initial
przymusiala,22.48,initial
aalu1418,22.46,initial
chestnutbruze,22.42,initial
djudjuu,22.40,initial
lizardwizard1,22.39,initial
suma777,22.36,initial
nebrelbug,22.35,initial
ahrwn,22.34,initial
ariefgkb,22.33,initial
finafina1,22.28,initial
d4vid-uk,22.27,initial
martincik,22.27,initial
metamask,22.19,initial
oskary777,22.16,initial
bdove87,22.15,initial
codemathics,22.13,initial
alizaen,22.11,initial
elhamne,22.06,initial
blockprogram,22.04,initial
kirbyong,22.04,initial
aimless5,22.01,initial
mofarim,21.99,initial
cryptolamer,21.89,initial
lebed2045,21.85,initial
mattdw2,21.85,initial
remivillenave,21.85,initial
saldasoro,21.85,initial
nodiumx,21.81,initial
mattmcd,21.75,initial
labrav,21.66,initial
robertpragai,21.65,initial
cyril-attie,21.64,initial
cryptoplaza,21.63,initial
gparuthi,21.62,initial
marcacard,21.60,initial
brianxv,21.55,initial
liveplatforms,21.55,initial
maghipearl,21.55,initial
takjohn,21.54,initial
cynthiaghf,21.47,initial
bazmanv1,21.35,initial
febrero,21.24,initial
rhlsthrm,21.23,initial
datapaul-lab,21.20,initial
dvush,21.18,initial
gunner1976,21.15,initial
jdfind,21.14,initial
cookiemonssster,21.10,initial
ineffectualproperty,21.08,initial
shamy-08,21.07,initial
luckyluker,21.03,initial
piotrjedrzejewski,21.01,initial
andonmitev,20.99,initial
sebass93,20.97,initial
baillokb,20.96,initial
christofon,20.96,initial
taarushv,20.95,initial
binhmai13,20.90,initial
detoo,20.90,initial
fowleras,20.90,initial
nealser,20.90,initial
niwadesigns,20.90,initial
staarrr,20.90,initial
mattnzl,20.82,initial
maxgillett,20.82,initial
michael805,20.81,initial
nyssanida,20.81,initial
anonusergitcoin30-urot3lxieegydlnbufsjswhepfbsbepx,20.71,initial
loganrichy,20.71,initial
dappcoding,20.67,initial
kobyeet,20.67,initial
nuamarjani,20.65,initial
worix,20.60,initial
jonathandiep,20.58,initial
hamidous,20.57,initial
acegentile,20.56,initial
cryptorich615,20.56,initial
baqar978,20.55,initial
kmignacca,20.53,initial
pawelangelow,20.50,initial
featr,20.49,initial
xmakina,20.48,initial
dapppapa,20.47,initial
resquick,20.46,initial
a2be,20.45,initial
threenigma,20.44,initial
siddharthab,20.43,initial
piyush23dez,20.42,initial
semenka,20.39,initial
ninnin614,20.35,initial
wbrealey,20.33,initial
monzanifabio,20.32,initial
leocn,20.28,initial
seanwbren,20.28,initial
ryanpark88,20.27,initial
norzo,20.26,initial
arf-66,20.24,initial
near2k,20.24,initial
reichdiaz,20.20,initial
thecoinrepublic,20.19,initial
myraloh,20.18,initial
fliptipper,20.16,initial
jkentlobby,20.16,initial
jscianna,20.06,initial
agarwalyeshu,20.02,initial
timgwallis,20.02,initial
aboveaveragejoe2019,20.00,initial
amerameen,20.00,initial
animotas,20.00,initial
beebeehem,20.00,initial
comfo100,20.00,initial
david-ongchoco,20.00,initial
djn81,20.00,initial
edwardmack,20.00,initial
fabrxchris,20.00,initial
farfromunique,20.00,initial
jcraigwastaken,20.00,initial
jordanlzg,20.00,initial
karima-k,20.00,initial
loganwedwards,20.00,initial
miladmostavi,20.00,initial
orion19992,20.00,initial
pensebien,20.00,initial
pierre752,20.00,initial
podkovyrin,20.00,initial
prashb94,20.00,initial
richhorrocks,20.00,initial
robertragas,20.00,initial
tehnica,20.00,initial
baerwain,19.95,initial
dmattingley,19.95,initial
hellwolf,19.95,initial
mandelliant,19.95,initial
templeoftrust,19.95,initial
trendos,19.95,initial
zamacode4,19.95,initial
stegenh,19.93,initial
aviekakkar,19.92,initial
darkinventory,19.92,initial
forscyvus,19.90,initial
drobot99,19.88,initial
j-h-scheufen,19.88,initial
kile251,19.88,initial
dmjeremy,19.86,initial
rmartinus,19.84,initial
alessandrotrips,19.81,initial
rajeev29five,19.81,initial
disgurls,19.80,initial
fritzschoff,19.80,initial
ilikerashers,19.80,initial
wally000,19.78,initial
chrishobcroft,19.75,initial
nicolascochin,19.72,initial
dimshuda,19.71,initial
kencode7,19.71,initial
oscarbuell,19.70,initial
arjunc12,19.67,initial
digitalrarity,19.67,initial
dragonateyt,19.67,initial
untra,19.66,initial
smiled0g,19.62,initial
altuntasfatih,19.59,initial
ndife,19.59,initial
joegonzalez0886,19.56,initial
kvnbelanger,19.56,initial
chris-remus,19.52,initial
antoni76,19.50,initial
conniedigital,19.50,initial
felixshurr,19.50,initial
kris30pl,19.50,initial
mwaa,19.50,initial
uberizer,19.50,initial
vandi202,19.50,initial
mightymooseco,19.49,initial
jacobmakarsky,19.46,initial
pedrocrvz,19.46,initial
emenimiopro9,19.45,initial
liviu8,19.44,initial
captainginyu,19.41,initial
xiitoxaiix,19.40,initial
berardpb,19.39,initial
sambam415,19.33,initial
funam,19.29,initial
nexx-ui,19.27,initial
by698,19.26,initial
interficere,19.26,initial
pawel-lewinski1,19.26,initial
zasad,19.26,initial
monet-supply,19.25,initial
michaelsdl,19.22,initial
nepalbitcoin,19.21,initial
ethyose,19.20,initial
harpreetlime,19.18,initial
poplolly,19.16,initial
hairy-potter,19.14,initial
mindey,19.13,initial
elprogreso,19.12,initial
quaresma95,19.12,initial
alexged1,19.10,initial
jennykildem,19.09,initial
aaronabundo,19.07,initial
lilith1410,19.06,initial
jiadlkfrie,19.05,initial
seliqui,19.04,initial
ebarbs,19.03,initial
airjava,19.00,initial
aschmidt20,19.00,initial
bcdguru,19.00,initial
beckydoor,19.00,initial
bla12345678,19.00,initial
chaksxcviii,19.00,initial
chaology,19.00,initial
chrisfishe,19.00,initial
concend,19.00,initial
craigwblake,19.00,initial
cryptofluff,19.00,initial
dantwanyy,19.00,initial
dboudro,19.00,initial
deficrypto10,19.00,initial
dvd-schwrtz,19.00,initial
dydymoon,19.00,initial
dzsunyec,19.00,initial
edmondyu,19.00,initial
ericchiludaso,19.00,initial
eturner710,19.00,initial
funnynunnie,19.00,initial
gen-exody,19.00,initial
hammewang,19.00,initial
hging,19.00,initial
jacklaing,19.00,initial
jacoped,19.00,initial
jasatgithub,19.00,initial
jbreed55,19.00,initial
jeandumas,19.00,initial
jgc138,19.00,initial
jsomensatto,19.00,initial
kinhu668,19.00,initial
knowyourdao,19.00,initial
kristinatauch1,19.00,initial
ksaitor,19.00,initial
lanterin,19.00,initial
laoce,19.00,initial
lashdj,19.00,initial
leonho,19.00,initial
lickquidity,19.00,initial
livepool-nico,19.00,initial
marinaspin,19.00,initial
mathewdgardner,19.00,initial
merlinegalite,19.00,initial
mmohorko,19.00,initial
mr-ciean,19.00,initial
nederob,19.00,initial
norisli,19.00,initial
oety,19.00,initial
paulkieran,19.00,initial
petermmoricz,19.00,initial
pmckelvy1,19.00,initial
qslnz,19.00,initial
rabursky,19.00,initial
raphaelbenoit,19.00,initial
reefpierre,19.00,initial
sahana1811,19.00,initial
samcassatt,19.00,initial
scottmtravers,19.00,initial
siddv,19.00,initial
tednivan,19.00,initial
theodorechuang,19.00,initial
thibault23,19.00,initial
throwaway568,19.00,initial
tinleuklau,19.00,initial
truetrev,19.00,initial
willjgriff,19.00,initial
zhivkoto,19.00,initial
markhahnel,18.99,initial
kinglouisxvii,18.98,initial
lorenzobersano,18.94,initial
panvalamark,18.94,initial
legionof7,18.91,initial
werekitty1,18.91,initial
rizal75,18.85,initial
mr-fool,18.80,initial
yafiabiyyu,18.79,initial
michaeljok,18.77,initial
3100,18.75,initial
bluele,18.75,initial
toshihiko-okubo,18.75,initial
yukihisamatsu,18.75,initial
bandoe,18.74,initial
concernai,18.71,initial
98farhan94,18.69,initial
clariti23,18.69,initial
bgok,18.66,initial
su-ko,18.65,initial
biko-the-bird,18.63,initial
ethmax,18.63,initial
stuffbyspencer,18.58,initial
1gurit,18.56,initial
jellenmark,18.56,initial
krishnanruta,18.50,initial
abhishandy,18.46,initial
ekos26,18.46,initial
s5k0651,18.46,initial
corbindavenport,18.42,initial
tarocrypto,18.42,initial
manore17,18.41,initial
leontodd,18.40,initial
vexycats,18.35,initial
marcuswin,18.33,initial
joeyjonesy,18.32,initial
hannocoetzee,18.31,initial
shanejonas,18.31,initial
sjalq,18.31,initial
dergarcon,18.30,initial
connorwarnock,18.29,initial
suttonto,18.29,initial
gwenvador,18.28,initial
shawnyetothe,18.27,initial
stone4419,18.27,initial
andrewtuter,18.26,initial
bigpeas,18.26,initial
bashalex,18.25,initial
carlgocht,18.25,initial
javkhaanj7,18.20,initial
musa-1995,18.18,initial
vandigital,18.17,initial
teddybear974,18.15,initial
lizzielxr,18.12,initial
milesthedisch,18.09,initial
trumzz,18.09,initial
akinh,18.05,initial
banguabdul,18.05,initial
bigmonstermining,18.05,initial
danpuch,18.05,initial
davidacasey,18.05,initial
plutonit,18.05,initial
superglow,18.05,initial
akii8,18.04,initial
alex311294,18.04,initial
anonusergitcoin72-qw4h4xwkrvmetmnzwlfmmmrvmfiydlu1,18.04,initial
anyhowclick,18.04,initial
bitrocker2020,18.04,initial
christopheseeka,18.04,initial
gitdonater,18.04,initial
gologo13,18.04,initial
letsgo21,18.04,initial
mar1h,18.04,initial
mimichiel,18.04,initial
natonamco,18.04,initial
perez1900,18.04,initial
rajaspeet1997,18.04,initial
svenrenhoek,18.04,initial
xela17,18.04,initial
yardy0x,18.04,initial
yawarabbasp,18.04,initial
windowazure,18.01,initial
apmilen,18.00,initial
notadao,18.00,initial
zuluuwarrior07,18.00,initial
creativeworld2,17.99,initial
mattitudeness,17.92,initial
papamasbro78,17.84,initial
anika98677,17.78,initial
filmblackeye,17.73,initial
vjiqbal,17.71,initial
paxthemax,17.70,initial
ethereumqueen,17.68,initial
simsud90,17.67,initial
rusisha,17.59,initial
blockchainbobc,17.53,initial
mattheworris,17.53,initial
pe4enable,17.52,initial
anonusergitcoin23-qonlrqroqtmxugbc4bgdcxypinhsun5r,17.50,initial
davidphan090697,17.42,initial
embedovator,17.40,initial
backkem,17.39,initial
lescollectionneurs,17.38,initial
ab599597,17.28,initial
circularr,17.28,initial
jscry,17.28,initial
keeeeeeeks,17.28,initial
newforkdelta,17.28,initial
devdavdov,17.24,initial
lordgeolocation,17.22,initial
ethken,17.20,initial
nickfarrow,17.20,initial
edsonmontu,17.18,initial
pablanopete,17.18,initial
shriodbeast,17.17,initial
chrsengel,17.15,initial
tricky-crypto,17.15,initial
balanlau,17.14,initial
gauravguitara,17.14,initial
jpritikin,17.14,initial
kublai1975,17.14,initial
lawfultots,17.14,initial
lilytwomey,17.14,initial
mrcartographer,17.14,initial
nodero67,17.14,initial
redhero118,17.14,initial
rob-morris,17.14,initial
semertzidis,17.14,initial
sn00fy,17.14,initial
web3coach,17.14,initial
kinggoesgaming,17.12,initial
ckanthony,17.11,initial
alexanderbender,17.10,initial
danielheyman,17.10,initial
galaxy233,17.10,initial
gilbertginsberg,17.10,initial
ravensightq8,17.10,initial
sarahgreyhh2020,17.10,initial
simonlapscher,17.10,initial
spaceblankey,17.10,initial
clemcham,17.07,initial
mehmetk378,17.06,initial
siddheshih,17.06,initial
felsin,17.05,initial
nickcamsmith,17.05,initial
juanjose11,17.03,initial
deepali-jain,17.02,initial
duffellp,17.00,initial
katekost90,16.99,initial
m0n3r0,16.99,initial
monosux,16.99,initial
farmwell,16.97,initial
maksood4,16.97,initial
nazmu2020,16.97,initial
danielarmengolaltayo,16.96,initial
alexkinomi,16.88,initial
cryptocutter,16.88,initial
mumimanz,16.85,initial
yusakman,16.85,initial
yahsinhuangtw,16.83,initial
cryptouser19,16.82,initial
lawrencelink,16.79,initial
ahai5907,16.78,initial
itirabasso,16.67,initial
iainphd,16.66,initial
chiram884,16.65,initial
goyaldrsandyy,16.65,initial
sigma67,16.64,initial
longmaba,16.63,initial
tgrecojs,16.63,initial
nbgoku,16.62,initial
gplums,16.60,initial
mragicl,16.60,initial
iicc1,16.55,initial
tzapu,16.54,initial
baagamesnz,16.53,initial
btcharlatan,16.52,initial
ethguy,16.52,initial
stmans,16.50,initial
joasiee,16.49,initial
sraghavi95,16.42,initial
nathan-radar,16.40,initial
samuellokw,16.39,initial
bigcac22,16.37,initial
maro61763,16.35,initial
freakyfractal,16.29,initial
lodrtin,16.28,initial
muriisa,16.25,initial
hakiminho,16.24,initial
m4zakai,16.24,initial
unomacchii,16.24,initial
cookie-monster-4,16.23,initial
lenastarikova,16.23,initial
rinx241,16.22,initial
tamdc2704,16.22,initial
eliasahonen,16.19,initial
alanfalcon,16.15,initial
dergroncki,16.15,initial
rachyandco,16.15,initial
wendys4tendies,16.15,initial
act-blue,16.14,initial
gitshyy,16.14,initial
jeancsilva21,16.13,initial
tallsam,16.13,initial
zech564,16.11,initial
janglayne,16.08,initial
gambitgambler,16.07,initial
6simon9,16.05,initial
kamnog,16.05,initial
mistgun,16.05,initial
gizmojunkee,16.00,initial
gurleen-s,16.00,initial
oldernews,16.00,initial
unpack5,16.00,initial
injaytseng,15.98,initial
allinbit,15.94,initial
bokidd,15.91,initial
weteachblockchain,15.89,initial
caseyjkey,15.88,initial
stracheck,15.86,initial
enkhdari,15.85,initial
resta69,15.83,initial
pepae,15.79,initial
oojr,15.78,initial
hiddentao,15.70,initial
miogreen,15.70,initial
mat7ias,15.68,initial
isotopeee,15.64,initial
sc0vu,15.63,initial
ajaggia,15.61,initial
wsheehan,15.60,initial
yuwira,15.60,initial
jperdomohn,15.58,initial
vishesh-gupta,15.55,initial
captaincavedann,15.54,initial
massaune,15.51,initial
antondlr,15.50,initial
lvn1,15.49,initial
mandozza,15.48,initial
cryptonianz,15.47,initial
swarley06,15.47,initial
elliottmatt,15.45,initial
juholeht,15.44,initial
mateiacsinte,15.44,initial
reasland35,15.44,initial
emmafrey,15.43,initial
gkimbwala,15.42,initial
abramsymons,15.41,initial
idekanymoe,15.41,initial
nwingt,15.39,initial
natcho,15.36,initial
wesgetg,15.34,initial
lyricalpolymath,15.32,initial
ivoras,15.31,initial
mhfield211,15.28,initial
akpunia,15.27,initial
martomin,15.22,initial
alyssum1008,15.20,initial
andfletcher,15.20,initial
arthcp,15.20,initial
bellinas,15.20,initial
chawes-jr,15.20,initial
cherrylinkie,15.20,initial
mubaris,15.20,initial
wlajda,15.20,initial
rabilly,15.18,initial
komusc,15.16,initial
srdjan,15.14,initial
shreekanth4545,15.12,initial
ejonesio,15.11,initial
okanamzi,15.11,initial
codingupastorm,15.10,initial
fellaaxx,15.08,initial
maul1840803,15.08,initial
plor,15.08,initial
seanjcasey,15.07,initial
wuzzerd,15.07,initial
arjunwadhawan,15.06,initial
figu3,15.03,initial
thomashchsueh,15.02,initial
anonusergitcoin15-omk8tbwvfzzsdd4gie6b7tmadarc8l0t,15.01,initial
ankurdaharwal,15.00,initial
dg085,15.00,initial
ericchenmelt,15.00,initial
guillambert,15.00,initial
inspirationaltwist,15.00,initial
krogla,15.00,initial
nandinidixit,15.00,initial
premachb,15.00,initial
programmer10110,15.00,initial
slavik191,15.00,initial
travinkeith,15.00,initial
xocyds,15.00,initial
willmingtonw,14.93,initial
looookiie,14.92,initial
ravisser,14.91,initial
ricktar,14.90,initial
softbear,14.89,initial
patctc,14.88,initial
poocart,14.87,initial
uditvira,14.87,initial
i3uckwheat,14.86,initial
jun-sung,14.84,initial
masattarr,14.83,initial
sweetu01,14.83,initial
shingenchan,14.82,initial
qrystalbit,14.79,initial
loriktaank,14.76,initial
nibblesft208,14.76,initial
github449,14.75,initial
monomesa,14.72,initial
aesedepece,14.68,initial
evalir,14.68,initial
kenmartey,14.67,initial
chrisdotn,14.65,initial
s5mu3n,14.65,initial
breadstickbilly,14.64,initial
cryptodetect,14.63,initial
cristine2114,14.55,initial
jfpadilla2,14.55,initial
ryanmford,14.55,initial
face33,14.50,initial
gtlewis,14.50,initial
madanyc,14.50,initial
nazariydolfin,14.50,initial
fikriar1,14.48,initial
msecs,14.46,initial
stephenreid321,14.45,initial
jose78-csp,14.44,initial
cryptofriend,14.43,initial
mahoneyturnbull,14.43,initial
begood2me,14.42,initial
limakichu,14.42,initial
mazzarothleo,14.41,initial
rajat4564,14.41,initial
gasguzzler,14.40,initial
kapoor786,14.40,initial
michael1011,14.35,initial
t333st333r,14.27,initial
99p32a1,14.25,initial
abm505,14.25,initial
adamvolo,14.25,initial
airparsa,14.25,initial
anicxx,14.25,initial
berserkly,14.25,initial
birgibinugi,14.25,initial
cool4y,14.25,initial
cperezz,14.25,initial
cryptainist,14.25,initial
fmatan,14.25,initial
fulviamorales,14.25,initial
iancsnx,14.25,initial
janbenfast,14.25,initial
jjamesgs40,14.25,initial
jo-es,14.25,initial
jpthor,14.25,initial
llcooljay432,14.25,initial
mara-schmiedt,14.25,initial
maury1329,14.25,initial
mhorus,14.25,initial
mklaud1,14.25,initial
morrieinmaas,14.25,initial
nhindman23,14.25,initial
ruthgen,14.25,initial
sharkgua,14.25,initial
sirasistant,14.25,initial
staycalm4now,14.25,initial
symphorophelia,14.25,initial
tammieseo,14.25,initial
therecycledpirate,14.25,initial
upupaepops92,14.25,initial
zerog85,14.25,initial
scottgrants,14.23,initial
binliukevin,14.22,initial
ezynda3,14.22,initial
muten85,14.21,initial
radioluti,14.21,initial
manjeet32,14.18,initial
wmitsuda,14.17,initial
aadi191,14.16,initial
anonusergitcoin81-gnytdlpmwmnxzaogn4nu1cl6wxzncjxr,14.15,initial
bhaskar9893,14.15,initial
fahadfadi,14.15,initial
frankieg7916,14.15,initial
richardjansma,14.15,initial
veidah,14.15,initial
zdzoz,14.14,initial
aditya-jha,14.13,initial
paralwhite,14.13,initial
sultankevin,14.13,initial
778800,14.12,initial
airdrop,14.12,initial
baizid100,14.12,initial
bitcoin,14.12,initial
earningway19,14.12,initial
eottz,14.12,initial
fiazah,14.12,initial
harishdas,14.12,initial
moynol2,14.12,initial
princebond,14.12,initial
rizwanmahi,14.12,initial
smartbizzinfo,14.12,initial
syarifzone,14.12,initial
lefgk,14.09,initial
kittyhawkcrypto,14.07,initial
nehaag,14.06,initial
selind111,14.06,initial
bitcoinsam,14.04,initial
unpredictabledev,14.03,initial
damian-sowers,14.00,initial
gitcoindonor5,14.00,initial
industrialist,14.00,initial
cssa1984,13.99,initial
rogerballard,13.99,initial
cetanoel,13.98,initial
rarofa,13.96,initial
arthas168,13.93,initial
sandsou,13.92,initial
alita-moore,13.91,initial
jperaza1,13.89,initial
zant,13.85,initial
erusevtest,13.79,initial
anoopev,13.78,initial
caterpaula,13.78,initial
blake-dinngo,13.77,initial
euphorical,13.75,initial
academicianzakharov,13.74,initial
cryptonewo,13.74,initial
squishynsmoo,13.74,initial
elaniobro,13.73,initial
elenaecc,13.73,initial
jeff102,13.73,initial
elihanover,13.72,initial
wyc,13.72,initial
chr1sb4,13.71,initial
cschoon,13.71,initial
javascript2931,13.71,initial
nysxah,13.71,initial
nickkevin88,13.70,initial
andyk1278,13.68,initial
proofsuite,13.67,initial
augustray2019,13.66,initial
mrzarus2890,13.66,initial
apoiiocreed,13.65,initial
rodrigosobrero,13.63,initial
grooth83,13.62,initial
francopetra,13.61,initial
wbe008,13.58,initial
greerso,13.56,initial
ngmachado,13.55,initial
agusriana,13.54,initial
anggitaf,13.54,initial
cheese666,13.54,initial
emperator007,13.54,initial
ryan-ouyang,13.54,initial
phoenix616,13.53,initial
coppenhart,13.52,initial
tinkergoblin,13.52,initial
farobeer,13.45,initial
mrokkam,13.44,initial
orco64,13.44,initial
slide7,13.43,initial
centmatthew,13.40,initial
trosat,13.40,initial
koshikraj,13.37,initial
songokubg,13.37,initial
gcsfred2,13.36,initial
hegedis-andor,13.36,initial
justaname42,13.35,initial
0xkrsc,13.34,initial
xuhcc,13.33,initial
rwolande,13.32,initial
sabrnu,13.32,initial
chrisjgf,13.30,initial
dnlklr,13.30,initial
lullis,13.30,initial
manimechian,13.30,initial
marvinnicholl,13.30,initial
mjwills-inf,13.30,initial
omer-seedbed,13.30,initial
pedrojbp,13.30,initial
teochiriac,13.30,initial
phoebepoon,13.29,initial
azizfaizal,13.27,initial
bagusmahardika,13.27,initial
bitrod,13.27,initial
dimasanggara1,13.27,initial
lordsstar,13.27,initial
nafets111,13.27,initial
putrimandalika,13.27,initial
setoadi,13.27,initial
simon303,13.27,initial
skyrim513,13.27,initial
webdev0486,13.27,initial
fcaamano-ipsy,13.23,initial
motiurrahman043,13.22,initial
tamaslocher,13.22,initial
fan23x,13.20,initial
meltdem,13.15,initial
heroichitesh,13.13,initial
shadowmistx,13.13,initial
sonightrus,13.11,initial
farhaanbukhsh,13.08,initial
jaydaman707,13.08,initial
davecraige,13.01,initial
massnomis,12.98,initial
elynch303,12.97,initial
gittomcich,12.96,initial
echarrod,12.95,initial
zapaz,12.95,initial
mixbymatt,12.90,initial
julesgoullee,12.88,initial
denni03,12.86,initial
jeremypop,12.86,initial
jumbojak,12.86,initial
avenger218,12.85,initial
felixmacht,12.85,initial
anomit,12.84,initial
ciabas,12.84,initial
damianrudzinski,12.84,initial
hardikjain1996,12.81,initial
ykothari,12.74,initial
abdulamzf,12.71,initial
maxdesalle,12.70,initial
patryklucka,12.70,initial
prsanjay1,12.67,initial
neutraladvocate,12.66,initial
carolinwend,12.64,initial
jjfsp,12.63,initial
karlb,12.63,initial
tiganu123,12.63,initial
dorukismen,12.61,initial
heyflex,12.60,initial
matthewpchapdelaine,12.58,initial
ansermino,12.55,initial
wgmeets,12.55,initial
jefgeno,12.53,initial
samiell,12.50,initial
seanthegreat123,12.50,initial
andreichepelev,12.48,initial
barakami69,12.48,initial
maproulx99,12.45,initial
snowater06,12.45,initial
topairdrop,12.43,initial
anonusergitcoin56-gluyg27jkyipdw7wywoihbh4yilxwgm2,12.38,initial
linkintheblockchain,12.38,initial
mrblocktw,12.36,initial
batalla,12.35,initial
ducats1,12.35,initial
gdbrd7,12.35,initial
gutomartino,12.35,initial
kischiman,12.35,initial
nemcorp,12.35,initial
smalldutta,12.35,initial
thebpmconsultant,12.35,initial
thejaysf,12.35,initial
younes19960,12.31,initial
aadinz77,12.29,initial
mrstormlars,12.29,initial
vgshenoy,12.29,initial
farhansharym,12.27,initial
illegaldrum,12.25,initial
kurbanski,12.25,initial
lnbryan,12.25,initial
mbraha,12.25,initial
alap123alap,12.22,initial
socd06,12.21,initial
yasiryagi,12.21,initial
0xbull,12.19,initial
millerapps,12.19,initial
almal,12.18,initial
luciusfang,12.18,initial
