handle,user_id,total,active_user,kernel,GMV
mauerv,56243,13810367620196000071680,27041000000000000000,464696620196999921664,13318629999999000248320
bflynn4141,69586,13366810599999999574016,142040600000000000000,0,13224769999999999148032
jchi18,91145,13289788199997999677440,65078199999000002560,0,13224709999998999199744
sanchaymittal,62640,13380231399999000281088,175341400000000000000,0,13204889999998999068672
crisog,78075,13152929399998999691264,13349400000000000000,0,13139579999998999265280
mjamilbashir99,90283,13152929399998999691264,13349400000000000000,0,13139579999998999265280
nya-elimuai,89379,13152929399998999691264,13349400000000000000,0,13139579999998999265280
fernandomartinelli,71098,13646171599998000562176,793871599998999986176,0,12852299999999000838144
andrewkeysconsensys,66694,13374093099999999033344,621903100000000016384,0,12752190000000000851968
sergiodemianlerner,68055,12895836100000001032192,167656099999999983616,0,12728180000000000917504
unitimeshq,74980,12693230900000000573440,15150900000000000000,0,12678080000000000000000
reubenb13,94495,12739393599999999737856,87903600000000000000,0,12651490000000000196608
nodar,67029,16048719999998999134208,3405379999999000051712,0,12643339999999999082496
pooltogether-team,73120,13051012399999999803392,430742400000000000000,0,12620269999999999279104
ferranrego,62087,13213132699999999623168,596012700000000016384,0,12617119999999998951424
dmihal,2288,14156869999998999199744,1578160000000000000000,0,12578709999999000772608
merwane,66550,12745168999999000805376,226729000000000000000,0,12518439999998999396352
hodldwon,67106,13788289999999999148032,1385190000000000065536,0,12403100000000000655360
rabmarut,106357,12392019999998999527424,11760000000000000000,0,12380259999998999003136
rune23,91637,12335082099999001018368,11762100000000000000,0,12323319999999000969216
guistf,59536,12460289899998000185344,153159899999000002560,0,12307129999999000117248
anonusergitcoin65-apfm2iez1kj9qtqrpsvbhxgvr9ccakbx,86188,12284241699998999248896,13691700000000000000,0,12270549999999000772608
sydneylai,77851,12268480600000000163840,73860600000000000000,0,12194619999999999606784
futuretechboss,63068,12097236399999001034752,17636399999000000512,0,12079600000000000524288
disruptionjoe,-91395,12487690800000000851968,600740800000000000000,0,11886950000000000589824
king-st,107636,11801900000000000131072,11180000000000000000,0,11790720000000000000000
likepeas,125210,11801900000000000131072,11180000000000000000,0,11790720000000000000000
nic4242,125258,11801900000000000131072,11180000000000000000,0,11790720000000000000000
