Handle,Share of Active Users,Tokens Allocated
mccallj57,0.04070%,"1,244.32"
alexvotofuture,0.04060%,"1,243.03"
6020202,0.04060%,"1,242.80"
ashrith333,0.04030%,"1,231.90"
ouyashimasaki,0.04030%,"1,231.90"
erikbjare,0.04030%,"1,231.74"
lxzocc,0.04020%,"1,230.83"
lorelei1,0.04010%,"1,226.95"
nic-parsons,0.04000%,"1,223.26"
rlarnszldxn,0.03990%,"1,221.00"
mengyun852,0.03990%,"1,221.00"
coremetro,0.03990%,"1,220.00"
fanhuaqiang,0.03960%,"1,211.82"
qingon,0.03950%,"1,210.10"
peth-yursick,0.03940%,"1,205.82"
kitartoan,0.03940%,"1,204.23"
caspar4u,0.03920%,"1,199.20"
aalexis1234,0.03900%,"1,192.49"
deepcryptodive,0.03890%,"1,190.67"
eswarasai,0.03890%,"1,188.85"
hansichan,0.03880%,"1,188.30"
omnianalytics,0.03880%,"1,186.51"
econoar,0.03860%,"1,181.84"
willyogo,0.03860%,"1,181.56"
lubi2019091101,0.03850%,"1,179.09"
chu6,0.03850%,"1,177.95"
eneroszzzz,0.03850%,"1,177.39"
tylerdurden888,0.03850%,"1,177.39"
abbyyuang,0.03850%,"1,177.39"
kaiyeep,0.03850%,"1,177.39"
acedabook,0.03850%,"1,176.64"
mariapaulafn,0.03830%,"1,172.84"
nukemandan,0.03810%,"1,167.10"
badan123,0.03810%,"1,166.49"
azizyano,0.03800%,"1,163.50"
doppelbock42,0.03800%,"1,162.05"
lalleclausen,0.03790%,"1,160.11"
walkingman1986,0.03780%,"1,155.59"
drewharding,0.03750%,"1,148.44"
mul1sh,0.03750%,"1,147.71"
benjaminion,0.03750%,"1,146.71"
d0ck3r,0.03740%,"1,145.52"
musatheredguard,0.03740%,"1,145.11"
dongxiaolang2,0.03740%,"1,144.69"
sliper88877,0.03740%,"1,144.69"
ssyijiu,0.03740%,"1,144.69"
litodertechie,0.03730%,"1,141.15"
austintgriffith,0.03730%,"1,140.19"
odiblocha,0.03710%,"1,133.93"
xbbdjj,0.03710%,"1,133.79"
zmzapstar,0.03710%,"1,133.79"
nanspro,0.03680%,"1,126.91"
brantlymillegan,0.03680%,"1,124.66"
zw11287,0.03670%,"1,123.72"
wang681,0.03670%,"1,122.88"
ivanlien,0.03670%,"1,122.88"
okduncan,0.03650%,"1,117.19"
junsha123,0.03630%,"1,111.98"
jerry1996619,0.03630%,"1,111.98"
gfanchan11,0.03630%,"1,111.98"
sunysen,0.03630%,"1,111.98"
xqtstrategy,0.03630%,"1,109.76"
yaobr,0.03620%,"1,109.20"
b-mueller,0.03620%,"1,107.90"
manualzuru,0.03610%,"1,105.48"
quangmach,0.03610%,"1,105.17"
wslyvh,0.03600%,"1,101.71"
bonustrack,0.03600%,"1,101.26"
awjgrngrtjke,0.03600%,"1,101.08"
blaabjerg,0.03600%,"1,101.08"
oniks68,0.03600%,"1,101.08"
molochdao,0.03560%,"1,090.18"
hfmx1,0.03560%,"1,090.18"
tiwing10,0.03560%,"1,090.18"
samjii,0.03560%,"1,089.36"
web3bridge,0.03530%,"1,079.74"
muks003,0.03530%,"1,079.28"
a33435345,0.03530%,"1,079.28"
ubien,0.03510%,"1,075.41"
markusbkoch,0.03510%,"1,074.23"
jmcpheron,0.03500%,"1,070.77"
amsimoes,0.03500%,"1,070.38"
0x-vic,0.03490%,"1,068.66"
arbitary,0.03490%,"1,068.38"
andrecronje,0.03490%,"1,067.76"
poltorrent,0.03480%,"1,065.73"
yongding,0.03450%,"1,054.60"
shadoweye2018,0.03420%,"1,046.57"
angryolk,0.03420%,"1,046.57"
beaudelair,0.03410%,"1,043.60"
blockstarstudio,0.03410%,"1,043.28"
taenacious,0.03400%,"1,041.38"
ninjasauce84,0.03400%,"1,039.69"
troopaloop8,0.03390%,"1,038.21"
zoek1,0.03390%,"1,037.15"
bigbrodfids,0.03380%,"1,035.67"
forbtm,0.03380%,"1,035.67"
danlipert,0.03370%,"1,031.22"
wighawag,0.03360%,"1,029.49"
hamburglar7,0.03360%,"1,029.18"
icepy,0.03350%,"1,025.89"
eth-swarm,0.03350%,"1,025.24"
dfgsd54,0.03350%,"1,024.77"
xutpobah,0.03340%,"1,022.87"
geleeroyale,0.03340%,"1,022.49"
floristico,0.03340%,"1,020.99"
latetot,0.03320%,"1,017.22"
red29,0.03310%,"1,014.32"
w7129378,0.03310%,"1,013.87"
jeanchen27,0.03310%,"1,013.87"
liangtiansky,0.03310%,"1,013.87"
suii00,0.03300%,"1,009.96"
ethergration,0.03280%,"1,004.57"
kuzminaaliya1429,0.03280%,"1,003.83"
burrrata,0.03280%,"1,003.23"
jumpingcjp,0.03280%,"1,002.96"
yuu254,0.03280%,"1,002.96"
robotov1,0.03280%,"1,002.96"
dtbx,0.03270%,"1,001.63"
0xcharles,0.03260%,998.3908
shayanb,0.03260%,997.7267
tomteman,0.03260%,997.5598
1.39E+10,0.03240%,992.0631
ghesgd4534,0.03240%,992.0631
qpt224,0.03240%,992.0631
delitzer,0.03230%,989.3468
burningtree,0.03220%,985.0946
masterche777,0.03210%,981.7204
khitan,0.03210%,981.1613
braveheartcc33,0.03210%,981.1613
shamenqiao,0.03210%,981.1613
huafengjing,0.03210%,981.1613
joshuasl,0.03210%,980.9926
madeoftin,0.03180%,972.229
saveascj,0.03170%,971.4017
pacinoli,0.03170%,970.2595
aeternity-mark,0.03170%,970.2595
joshmelton,0.03170%,970.251
indigocryptotrading,0.03160%,966.24
vpepo,0.03140%,961.7591
sneg55,0.03140%,960.2678
4-1-3-x,0.03140%,959.588
hughmass,0.03140%,959.3577
fire81147,0.03140%,959.3577
myxi005,0.03140%,959.3577
lazyzav,0.03130%,957.5157
ayatomf,0.03130%,957.0588
ethwarrior,0.03120%,954.7141
coincashew,0.03110%,952.7283
sanjujain01986,0.03110%,951.8461
pascaltallarida,0.03110%,951.3837
timvanmourik,0.03100%,950.0445
thegezman,0.03100%,948.7015
zkeducation,0.03100%,948.6268
leedeuck-kyun,0.03100%,948.4559
anettrolikova,0.03080%,943.9488
jayhem,0.03070%,939.6601
bzjust,0.03060%,937.5541
goldwinner,0.03060%,937.5541
mehmetshah,0.03060%,937.5541
livermorethewhale,0.03060%,937.5541
moshemalawach,0.03060%,937.1392
conlan,0.03060%,936.7454
arboreum-github,0.03060%,935.4278
frankwen777,0.03050%,932.9562
alex-nugget,0.03040%,930.3737
jamesmorgan,0.03040%,930.1791
makoto,0.03040%,929.1098
cryptoinseino,0.03030%,926.6523
pol-lanski,0.03020%,924.1924
samajammin,0.03010%,922.3604
jaclon100,0.03010%,919.7142
cryptomental,0.03000%,919.492
nter7,0.02990%,915.7505
blockchaindude108,0.02990%,915.7505
maozi6,0.02990%,915.7505
chancekim9,0.02990%,915.7505
adrianleb,0.02980%,912.5695
shenyangaoti,0.02980%,912.5616
diglos,0.02980%,910.5631
rising339,0.02960%,904.8487
echo-ray,0.02960%,904.8487
delilah360,0.02960%,904.8487
robfifth,0.02950%,903.7572
pangxiongaoaojiao,0.02950%,901.7739
acolytec3,0.02950%,901.4252
danfinlay,0.02940%,900.8214
jordipainan,0.02940%,900.6326
scco,0.02930%,896.7617
darkghost7,0.02930%,896.2659
gitcoingranterog,0.02930%,896.2357
wendy111,0.02930%,895.0836
scorpie,0.02920%,893.947
monkeyip,0.02920%,893.947
fegsdf4,0.02920%,893.947
kanzyaniav,0.02920%,893.947
nickadamson,0.02920%,893.947
txzx456,0.02920%,893.947
djl816b,0.02920%,893.947
djl816cc,0.02920%,893.947
1.33E+10,0.02920%,893.947
mcaptain16,0.02920%,893.947
heychristopher,0.02920%,893.7467
gwintery,0.02910%,889.1305
gitcoinstan,0.02900%,886.1727
ygdlgqbgithub,0.02890%,883.0452
huisgj,0.02890%,883.0452
rageyflashy,0.02890%,883.0452
mcbucks,0.02890%,883.0452
hubilin,0.02890%,883.0452
yueya26498165,0.02890%,883.0452
zherring,0.02870%,879.4318
palm-lee,0.02860%,876.3711
jiushiyuni,0.02860%,875.5845
craaie,0.02860%,874.3796
santteegt,0.02850%,872.8891
davideyang125,0.02850%,872.1434
