Handle,Share of Active Users,Tokens Allocated
ryvosoftware,0.00160%,49.03942
bartleyg,0.00160%,49.03649
kempo,0.00160%,49.02078
mikro2nd,0.00160%,49.02078
daniel-s-kim,0.00160%,49.02078
ajnauleau,0.00160%,49.02078
thehansgruber,0.00160%,48.9779
silantnode,0.00160%,48.94869
giotrips,0.00160%,48.90466
noahzb,0.00160%,48.90466
reinis139,0.00160%,48.90466
jessebmiller,0.00160%,48.90466
tiaffa,0.00160%,48.90466
exphourglass,0.00160%,48.90466
wac2018,0.00160%,48.90466
cadilha,0.00160%,48.90466
kal3x,0.00160%,48.90466
zuluuwarrior07,0.00160%,48.90466
hiwines,0.00160%,48.90466
shiratamalemon,0.00160%,48.90466
tallsam,0.00160%,48.90466
lorenzo-bc,0.00160%,48.88106
bb2000,0.00160%,48.87417
mansgd,0.00160%,48.87333
julioalves54,0.00160%,48.87333
tommydot,0.00160%,48.87333
andrekrippahl,0.00160%,48.87333
abdulamzf,0.00160%,48.87333
felixmacht,0.00159%,48.79381
zedt3ster,0.00159%,48.79381
siatechno,0.00159%,48.63561
alexanderbender,0.00159%,48.63561
crypto-guys,0.00159%,48.63075
kuyawa,0.00158%,48.45416
mikestonecodes,0.00158%,48.40802
jgun1,0.00158%,48.27423
davidutro,0.00158%,48.27423
strdn,0.00158%,48.27423
ec2,0.00158%,48.27423
forlenia,0.00158%,48.27014
geebee14,0.00158%,48.27014
quisamor,0.00158%,48.27014
ckanthony,0.00158%,48.27014
akwavelva,0.00158%,48.27014
yarode,0.00158%,48.27014
brianfernalld,0.00158%,48.27014
banana-kaizer,0.00158%,48.27014
annaliese-milano,0.00158%,48.27014
journalducoinsb,0.00158%,48.27014
e-asia,0.00158%,48.27014
olivermensahdev,0.00158%,48.25468
msdzifamensah,0.00158%,48.25468
gitbtcs,0.00158%,48.25468
benkissi,0.00158%,48.25468
str4d,0.00158%,48.25468
murphjestic,0.00158%,48.25468
cryptocent1,0.00158%,48.25468
abhijith115,0.00158%,48.25468
evanslyb,0.00158%,48.25468
ttmss,0.00158%,48.25468
mrudulachivukula,0.00158%,48.25468
samiell,0.00158%,48.25468
benhen75,0.00158%,48.25468
virux,0.00158%,48.25468
crypto-sauce,0.00158%,48.25468
mirooon,0.00158%,48.25468
zer00wing,0.00158%,48.25468
surge-technologies,0.00158%,48.25468
wysie,0.00157%,48.1855
maexx393,0.00157%,48.10193
jamesjohnbeck,0.00157%,48.08267
tamaslocher,0.00157%,47.97648
namesty,0.00157%,47.97648
jason920224,0.00157%,47.96847
tropicar,0.00157%,47.96082
nicholasglazer,0.00157%,47.95309
alexintosh,0.00156%,47.83114
xvettex,0.00156%,47.81343
akru,0.00156%,47.79526
scott71,0.00156%,47.79526
eternalflow,0.00156%,47.79526
shippable-ls,0.00156%,47.79526
warezgibzzz,0.00156%,47.79526
juanfranblanco,0.00156%,47.65923
hlambur,0.00156%,47.65278
xiaodaoxin,0.00156%,47.65149
eswar2843,0.00156%,47.65149
livyloo21,0.00156%,47.65149
passthetorch,0.00156%,47.65149
darrylyeo,0.00156%,47.65149
emiliomorles,0.00156%,47.65149
businezz,0.00156%,47.65149
takjohn,0.00156%,47.65149
businesssocksgu,0.00156%,47.65149
crypto-nart,0.00156%,47.65149
koder-abc123,0.00156%,47.62351
kirkballou,0.00156%,47.60151
tomasvrba,0.00155%,47.50697
gololo,0.00155%,47.47749
cameronfr,0.00155%,47.45586
renyanduo,0.00155%,47.40986
xiaoran88,0.00155%,47.3499
hello-shreyas,0.00155%,47.3499
wlstylr,0.00155%,47.3499
amxx,0.00155%,47.3179
elevenxi,0.00154%,47.25733
avmacd,0.00154%,47.18409
bigpeas,0.00154%,47.18409
circularr,0.00154%,47.18409
blockbird,0.00154%,47.18409
vexycats,0.00154%,47.13669
hurek,0.00154%,47.07847
fynn55666,0.00154%,47.04831
will930,0.00154%,47.04831
nicaro-bullish,0.00154%,47.04831
phyxius86,0.00154%,47.04831
bg0ld,0.00154%,47.04831
drmr111,0.00154%,47.04831
ls4825783,0.00154%,47.04831
jameslefey,0.00154%,47.04831
duniaman,0.00154%,47.04831
zea90,0.00154%,47.04831
mohdico,0.00154%,47.04831
goodjob2077,0.00154%,47.04831
cv888,0.00154%,47.04831
prestonont,0.00154%,47.04831
drycounty,0.00154%,47.04831
defirater,0.00154%,47.04831
polkadotter,0.00154%,47.04831
kveekx1,0.00154%,47.04831
hippopomonster,0.00154%,47.04831
sciguy05,0.00154%,47.04831
bao-java,0.00154%,47.04831
wxbq00,0.00154%,47.04831
supzer000,0.00154%,47.04831
cavanmflynn,0.00154%,47.04831
jbodington,0.00154%,47.04831
guillaumecote,0.00154%,47.04831
plixxia,0.00154%,47.04831
advocateone,0.00154%,47.04831
f4c3r,0.00154%,47.04831
cryptogmoneyg,0.00154%,47.04831
hui121315,0.00154%,47.04831
polkadotter300,0.00154%,47.04831
arkus-noble,0.00154%,47.04831
rebeccaoladun,0.00154%,47.04831
thatmanbehindthecurtain,0.00154%,47.04831
lytathio,0.00154%,47.04831
fynn5566,0.00154%,47.04831
simonson87,0.00154%,47.04831
trendsetter7,0.00154%,47.04831
uqlyman,0.00154%,47.04831
shazam1337,0.00154%,47.04831
crypto-joey,0.00154%,47.04831
istuntow,0.00154%,47.04831
leuillades,0.00154%,47.04831
yoiochen,0.00154%,47.04831
asylumseaker,0.00154%,47.04831
jingjing1228,0.00154%,47.04831
bartysu,0.00154%,47.04831
iantgilbert,0.00154%,47.04831
babubibek,0.00154%,47.04831
burkay5,0.00154%,47.04831
miltonwg,0.00154%,47.04831
profello,0.00154%,47.04831
dimavlazev,0.00154%,47.04831
erciezeryp,0.00154%,47.04831
enricml,0.00154%,47.04831
udembaselfmade,0.00154%,47.04831
noobsnax,0.00154%,47.04831
ayoayo2019,0.00154%,47.04831
voorsie,0.00154%,47.04831
kkngo,0.00154%,47.04831
eveready222,0.00154%,47.04831
lawrenceofdaniel,0.00154%,47.04831
edwincaminho,0.00154%,47.04831
emmawise1,0.00154%,47.04831
shoemaker9,0.00154%,47.04831
gingylv,0.00154%,47.04831
kumosoukai,0.00154%,47.04831
local-investment-token,0.00154%,47.04831
amesela,0.00154%,47.04831
leenaduwadi,0.00154%,47.04831
razga,0.00154%,47.04831
mochafrappachino,0.00154%,47.04831
tumistrart,0.00154%,47.04831
yfifan,0.00154%,47.04831
kelly-55,0.00154%,47.04831
heshanianu56,0.00154%,47.04831
pticaloide,0.00154%,47.04831
iwannawin,0.00154%,47.04831
altinmelis,0.00154%,47.04831
diassanji,0.00154%,47.04831
unixmarker,0.00154%,47.04831
amalp2332,0.00154%,47.04831
sunikarod,0.00154%,47.04831
romwazjudika,0.00154%,47.04831
tunaifurkan,0.00154%,47.04831
maddime48,0.00154%,47.04831
perillong2,0.00154%,47.04831
0x8a6abd,0.00154%,47.04831
blazedigital,0.00154%,47.04831
sudarmanperera85,0.00154%,47.04831
screenpeaker,0.00154%,47.04831
karamdian,0.00154%,47.04831
antonok-edm,0.00154%,47.04831
cyrptomicky,0.00154%,47.04831
macarse,0.00154%,47.04831
flushy85,0.00154%,47.04831
shadowfly,0.00154%,47.04831
dirtyfishy,0.00154%,47.04831
thommneuro,0.00154%,47.04831
padomin84,0.00154%,47.04831
davidinsuomi,0.00154%,47.04831
somuchid,0.00154%,47.04831
tkzktk,0.00154%,47.04831
donsales,0.00154%,47.04831
bandla7,0.00154%,47.04831
octaviaan,0.00154%,47.04831
crypt0mata,0.00154%,47.04831
beervangeer,0.00154%,47.04831
karankurbur,0.00154%,47.04831
audomdom,0.00154%,47.04831
supremepizza2018,0.00154%,47.04831
badgerdaofan,0.00154%,47.04831
edmcquade,0.00154%,47.04831
vidaloka84,0.00154%,47.04831
pvandenbrink,0.00154%,47.04831
linz25994,0.00154%,47.04831
elonvipoku,0.00154%,47.04831
honeyismoney,0.00154%,47.04831
amalekcoding,0.00154%,47.04831
dedosmedia,0.00154%,47.04831
dasbora,0.00154%,47.04831
cmartincrypto,0.00154%,47.04831
mariankos,0.00154%,47.04831
flolg-synaps,0.00154%,47.04831
handlosi49,0.00154%,47.04831
qehnsa98,0.00154%,47.04831
aerhy,0.00154%,47.04831
mannykary,0.00154%,47.04831
zaydme,0.00154%,47.04831
jezzax,0.00154%,47.04831
bookerdl,0.00154%,47.04831
lokemmpoe,0.00154%,47.04831
techmeproject,0.00154%,47.04831
evayxy,0.00154%,47.04831
nerox10,0.00154%,47.04831
tuanba2203,0.00154%,47.04831
ambobedaya,0.00154%,47.04831
pezdukie,0.00154%,47.04831
heelaree,0.00154%,47.04831
speculor,0.00154%,47.04831
vagosumbil,0.00154%,47.04831
jman1212,0.00154%,47.04831
musicdances,0.00154%,47.04831
cangcungcah,0.00154%,47.04831
gary91114,0.00154%,47.04831
imreiko,0.00154%,47.04831
malvarox,0.00154%,47.04831
rene78,0.00154%,47.04831
forandchise1215,0.00154%,47.04831
denisbadger,0.00154%,47.04831
cduchesne,0.00154%,47.04831
legendfan75,0.00154%,47.04831
logtineusp,0.00154%,47.04831
brickandmortar,0.00154%,47.04831
rastapop,0.00154%,47.04831
uarnfibl,0.00154%,47.04831
tinsleytran,0.00154%,47.04831
junk89,0.00154%,47.04831
dustovs,0.00154%,47.04831
mretherguy,0.00154%,47.04831
alphacentauria294,0.00154%,47.04831
androidfort,0.00154%,47.04831
fartusmaximus,0.00154%,47.04831
larrax,0.00154%,47.04831
xdaiactivist,0.00154%,47.04831
ttvkk1,0.00154%,47.04831
pikachuventures,0.00154%,47.04831
apkjet,0.00154%,47.04831
danutomo,0.00154%,47.04831
helpfulbrother,0.00154%,47.04831
cyhhao,0.00154%,47.04831
rpscullion,0.00154%,47.04831
yoni9091,0.00154%,47.04831
drj3kl,0.00154%,47.04831
iansundo,0.00154%,47.04831
kimokert,0.00154%,47.04831
wise14life,0.00154%,47.04831
bennyb0y,0.00154%,47.04831
zhang-da-ming,0.00154%,47.04831
pol-diaz,0.00154%,47.04831
jokybzylow,0.00154%,47.04831
xwvvvvwx,0.00154%,47.04831
mikekadivar,0.00154%,47.04831
spikie4emmi,0.00154%,47.04831
zl19930303,0.00154%,47.04831
drew0776,0.00154%,47.04831
shea851,0.00154%,47.04831
ygclyde,0.00154%,47.04831
etherealasana,0.00154%,47.04831
anonyn0ir,0.00154%,47.04831
andrewgrant5,0.00154%,47.04831
mypetfish,0.00154%,47.04831
starrich2020,0.00154%,47.04831
aeonaustria,0.00154%,47.04831
andyden9,0.00154%,47.04831
gumshed,0.00153%,46.96328
anceena,0.00153%,46.79894
lychees,0.00153%,46.76254
doja07,0.00152%,46.6181
etzm,0.00152%,46.6181
javkhaanj7,0.00152%,46.6181
abstractpoint,0.00152%,46.6181
enkhdari,0.00152%,46.6181
nick,0.00152%,46.6181
lebed2045,0.00152%,46.6181
0xdeniz,0.00152%,46.6181
scorzech,0.00152%,46.6181
johnrjj,0.00152%,46.6181
grahammcbain,0.00152%,46.6181
crypto-conomy,0.00152%,46.6181
sozery,0.00152%,46.6181
bgits,0.00152%,46.6181
kclowes,0.00152%,46.6181
lithp,0.00152%,46.6181
rozifus,0.00152%,46.6181
zertifier,0.00152%,46.6181
kybadger70,0.00152%,46.6181
teochiriac,0.00152%,46.6181
satrianak,0.00152%,46.6181
derekhoward,0.00152%,46.6181
upupaepops92,0.00152%,46.6181
peppermizzen,0.00152%,46.6181
fast1fred,0.00152%,46.6181
mr-ciean,0.00152%,46.6181
pedroblacknight,0.00152%,46.6181
jordanlzg,0.00152%,46.6181
adosti,0.00152%,46.6181
face33,0.00152%,46.6181
samistart,0.00152%,46.6181
jamesscaur,0.00152%,46.6181
mathboulianne,0.00152%,46.6181
frranck,0.00152%,46.61531
marciogurka,0.00152%,46.60038
angelleye,0.00152%,46.60038
montanaflynn,0.00152%,46.60038
decryptifyingtheodds,0.00152%,46.54957
romeroyang,0.00152%,46.54957
ericchiludaso,0.00152%,46.54957
tarzan18,0.00152%,46.48999
mcosta20,0.00152%,46.48999
dodecane,0.00152%,46.46775
ailin546,0.00152%,46.46021
vamsikrishnasabbisetty,0.00152%,46.46021
dorukardahan,0.00152%,46.46021
cnselectronics,0.00152%,46.46021
labtek42,0.00152%,46.46021
amozgov,0.00152%,46.39704
h4x3rotab,0.00151%,46.27703
michael-spengler,0.00151%,46.22961
ow9byte,0.00151%,46.18803
cristianjav,0.00151%,46.18803
theonlyfoxy,0.00151%,46.18803
jjdowie,0.00151%,46.16616
rpegues,0.00151%,46.16616
qfrank,0.00151%,46.16616
johnnynanjiang,0.00150%,45.9606
frostiq,0.00150%,45.94954
hugoargoselo,0.00150%,45.93092
luckyr13,0.00150%,45.91697
sifr360,0.00150%,45.89397
luisantoniocrag,0.00150%,45.88681
jawndiego,0.00150%,45.88681
paulcrypton,0.00150%,45.87945
web3666,0.00150%,45.8721
khai0503,0.00150%,45.8721
ootuffyoo,0.00150%,45.8721
pittzhang314,0.00150%,45.8721
adeelio,0.00150%,45.8721
jake-vs,0.00150%,45.8721
sreeraj7sm,0.00150%,45.8721
ercolanogiovanni,0.00150%,45.8721
vathgit,0.00150%,45.8721
xyzds,0.00150%,45.8721
fancy-crypto,0.00150%,45.8721
dada7894,0.00150%,45.8721
feco67,0.00150%,45.8721
timewalker91,0.00150%,45.8721
freedomno1a,0.00150%,45.8721
keithtom,0.00150%,45.8721
8walzah,0.00150%,45.8721
aminsuneja7,0.00150%,45.8721
tonymarma,0.00150%,45.8721
bmj20200716,0.00150%,45.8721
crmn111,0.00150%,45.8721
ruttchezz,0.00150%,45.8721
bolom,0.00150%,45.8721
aleksandrliamov1,0.00150%,45.8721
bananacrypto,0.00150%,45.8721
jmg813,0.00150%,45.8721
likevespa,0.00150%,45.85084
ylv-io,0.00150%,45.85084
jpthor,0.00150%,45.85084
edouardlvdl,0.00150%,45.85084
rickmort,0.00149%,45.60727
blakeburrito,0.00149%,45.60727
babak-gholampour,0.00149%,45.59275
edlondon,0.00149%,45.57751
yuwira,0.00149%,45.48154
sidneybpowell,0.00149%,45.48154
laurennignon,0.00149%,45.48154
afanblue,0.00149%,45.48154
jonnydubowsky,0.00149%,45.48154
hamidous,0.00149%,45.47196
mjpowersjr,0.00149%,45.45264
mohamedhayibor,0.00149%,45.45264
redshark1802,0.00148%,45.43537
mj10,0.00148%,45.43537
lucasnar,0.00148%,45.43537
jumorav,0.00148%,45.39563
j-cubb,0.00148%,45.32774
kusol70,0.00148%,45.32774
dayanarabrynlee,0.00148%,45.32774
tomast93,0.00148%,45.32774
danikula,0.00148%,45.32774
mkaravelioglu,0.00148%,45.32774
alaynaabdullah,0.00148%,45.32774
johnytodemosi,0.00148%,45.32774
supersminem,0.00148%,45.32774
bigwin1874,0.00148%,45.32774
karterknapplb,0.00148%,45.32774
camilajackson,0.00148%,45.32774
onurofficial,0.00148%,45.32774
advezdio,0.00148%,45.32774
ugottab,0.00148%,45.32774
tarikbugra53,0.00148%,45.32774
ikuds,0.00148%,45.32774
lwtsn,0.00148%,45.32774
havlind,0.00148%,45.32774
willchivers,0.00148%,45.32774
mattijz,0.00148%,45.32774
matrazy,0.00148%,45.32774
ftxfanclub,0.00148%,45.32774
ulgarmoose,0.00148%,45.32774
ariathalia,0.00148%,45.32774
andres3456,0.00148%,45.32774
hardinrusso,0.00148%,45.32774
shanti8,0.00148%,45.32774
fredvv2,0.00148%,45.32774
costalom,0.00148%,45.32774
diegoleal8802,0.00148%,45.32774
libercrypt,0.00148%,45.32774
longqpal,0.00148%,45.32774
alkabides,0.00148%,45.32774
bfriel,0.00148%,45.32774
tonycrypto22520,0.00148%,45.32774
weiyi1008,0.00148%,45.32774
snqs40,0.00148%,45.32774
erdincgumus,0.00148%,45.32774
arktika3,0.00148%,45.32774
sten34,0.00148%,45.32774
dongdongzhuzhu,0.00148%,45.32774
linute999,0.00148%,45.32774
ipmh17,0.00148%,45.32774
klaustin,0.00148%,45.32774
hatashiyamatomo,0.00148%,45.32774
woolyboolean,0.00148%,45.32774
r466it,0.00148%,45.32774
sasuketech,0.00148%,45.32774
whosyourdaddy14,0.00148%,45.32774
zhaohaijun,0.00148%,45.32774
0xarmagan,0.00148%,45.32774
chesterchen2010,0.00148%,45.32774
bugari56,0.00148%,45.32774
anthonypaglino,0.00148%,45.32774
tronstacksdefi,0.00148%,45.32774
igorexa1nsk,0.00148%,45.32774
as1740,0.00148%,45.32774
ii323,0.00148%,45.32774
ksr247,0.00148%,45.32774
cipherwang,0.00148%,45.32774
jatinpathi,0.00148%,45.32774
emrecsen,0.00148%,45.32774
harrietct,0.00148%,45.32774
8.94E+12,0.00148%,45.32774
dswarb,0.00148%,45.32774
cnukaus,0.00148%,45.32774
shivamk89,0.00148%,45.32774
botzmann,0.00148%,45.32774
yvrtrader,0.00148%,45.32774
ankh56,0.00148%,45.32774
crusoelee,0.00148%,45.32774
pepip,0.00148%,45.32774
joncursi,0.00148%,45.32774
kkeaveney,0.00148%,45.32774
happyboy110,0.00148%,45.32774
juansalfer,0.00148%,45.32774
praizogold2,0.00148%,45.32774
as2140,0.00148%,45.32774
findalas,0.00148%,45.32774
jarz76,0.00148%,45.32774
mahiid,0.00148%,45.32774
paulvaden,0.00148%,45.32774
artemy4o,0.00148%,45.32774
aliceinthisland,0.00148%,45.32774
zylotyl,0.00148%,45.32774
bcuda4,0.00148%,45.32774
omalicha,0.00148%,45.32774
titoisasmendi,0.00148%,45.32774
killrbit,0.00148%,45.32774
termik1985,0.00148%,45.32774
onemiligram,0.00148%,45.32774
mateigraura,0.00148%,45.32774
kmu36323,0.00148%,45.32774
vardation,0.00148%,45.32774
sujuxiaoren,0.00148%,45.32774
vgalibov,0.00148%,45.32774
mrukelgn,0.00148%,45.32774
emerfoot,0.00148%,45.32774
piske-alex,0.00148%,45.32774
pansydpf,0.00148%,45.32774
gg2001,0.00148%,45.32774
melsmog,0.00148%,45.32774
vinayandani9,0.00148%,45.32774
danieldy21,0.00148%,45.32774
canoplos,0.00148%,45.32774
fcan1,0.00148%,45.32774
derektive,0.00148%,45.32774
deus-ex-sparta,0.00148%,45.32774
aadlap,0.00148%,45.32774
tyundle123,0.00148%,45.32774
patomarket,0.00148%,45.32774
karla7777,0.00148%,45.32774
amishmanish,0.00148%,45.32774
nikomnw,0.00148%,45.32774
xcy5504,0.00148%,45.32774
rohit-rom,0.00148%,45.32774
muhoose,0.00148%,45.32774
guidomarket,0.00148%,45.32774
gr3mlins,0.00148%,45.32774
66www,0.00148%,45.32774
sf1nx,0.00148%,45.32774
andyhod,0.00148%,45.32774
cryptoinvest,0.00148%,45.32774
imtrippin,0.00148%,45.32774
mulayimsert,0.00148%,45.32774
pexryl01,0.00148%,45.32774
sukablede,0.00148%,45.32774
louisgandtemple,0.00148%,45.32774
madexg,0.00148%,45.32774
akhileshdubba,0.00148%,45.32774
serjlug2017,0.00148%,45.32774
sgc-code,0.00148%,45.32774
holuwatoby,0.00148%,45.32774
zn1949,0.00148%,45.32774
startico2019,0.00148%,45.32774
huangr26,0.00148%,45.32774
beansk,0.00148%,45.32774
newman733,0.00148%,45.32774
cryptomrb,0.00148%,45.32774
mohtaufiq175,0.00148%,45.32774
samkusma,0.00148%,45.32774
dgrbox3d,0.00148%,45.32774
gio3gio,0.00148%,45.32774
unioasoi,0.00148%,45.32774
nmarioni11,0.00148%,45.32774
allem-nassib,0.00148%,45.32774
aceolm,0.00148%,45.32774
gogoyupi,0.00148%,45.32774
davemaker,0.00148%,45.32774
3dhodl,0.00148%,45.32774
nksb17,0.00148%,45.32774
helioaa16,0.00148%,45.32774
jsmithon1614,0.00148%,45.32774
niftykhee,0.00148%,45.32774
phrusj,0.00148%,45.32774
sbuszard,0.00148%,45.32774
bmgs1905,0.00148%,45.32774
berserk999,0.00148%,45.32774
inigo10,0.00148%,45.32774
shuknasty,0.00148%,45.32774
freedumbs00,0.00148%,45.32774
adrianstoj,0.00148%,45.32774
croatian45,0.00148%,45.32774
mimimi777strong,0.00148%,45.32774
daverodman,0.00148%,45.32774
olegjan2008,0.00148%,45.32774
pratham2463,0.00148%,45.32774
bomaprecious,0.00148%,45.32774
roy8882000,0.00148%,45.32774
cryptomonkeymm,0.00148%,45.32774
mickssp,0.00148%,45.32774
ignistfs,0.00148%,45.32774
muljanis45,0.00148%,45.32774
breakoffor,0.00148%,45.32774
xxxvsccc,0.00148%,45.32774
adamsanders,0.00148%,45.32774
split850,0.00148%,45.32774
electroxts,0.00148%,45.32774
genius2091,0.00148%,45.32774
cosmosonblockchain,0.00148%,45.32774
zonpower,0.00148%,45.32774
ahye50,0.00148%,45.32774
kerzenlicht9,0.00148%,45.32774
sand3sh,0.00148%,45.32774
garuflax,0.00148%,45.32774
alexkandrin,0.00148%,45.32774
coustut,0.00148%,45.32774
7skilless7,0.00148%,45.32774
starlighter666,0.00148%,45.32774
enoch911,0.00148%,45.32774
mdemidoff,0.00148%,45.32774
stanchospanchos,0.00148%,45.32774
sp7290,0.00148%,45.32774
flyq,0.00148%,45.32774
ken0203,0.00148%,45.32774
mathprofits,0.00148%,45.32774
onur523131,0.00148%,45.32774
chaoge303,0.00148%,45.32774
icheeta,0.00148%,45.32774
kentubasy,0.00148%,45.32774
novina,0.00148%,45.32774
promeryou,0.00148%,45.32774
sladecek,0.00148%,45.30587
kpatch,0.00148%,45.30587
derekjarvis,0.00148%,45.30587
ww91798,0.00148%,45.2987
shanjieguoyi,0.00148%,45.2987
brunobar79,0.00148%,45.29279
nandemotoken,0.00148%,45.28542
joshglobal,0.00148%,45.27568
nhindman23,0.00147%,45.08358
viarnes,0.00147%,45.08358
leopoldjoy,0.00147%,45.08358
rashmi-278,0.00147%,45.05519
maxwolff,0.00147%,45.01358
yorkemartin,0.00147%,44.89654
jubalharsho,0.00147%,44.89619
reallifeck,0.00146%,44.7704
bearni95,0.00146%,44.7704
phantomydn,0.00146%,44.7704
erazhu31,0.00146%,44.74699
lindlof,0.00146%,44.73964
zzkl2626,0.00146%,44.73964
mdsroyce,0.00146%,44.73964
dahoob,0.00146%,44.73964
caulinez,0.00146%,44.73964
landa-lab,0.00146%,44.73964
polux0,0.00146%,44.73964
mike-629,0.00146%,44.73964
shulepov,0.00146%,44.73964
tmacosaurus,0.00146%,44.73964
phakep,0.00146%,44.73964
drewcrop,0.00146%,44.73964
stguller,0.00146%,44.73964
artem201293,0.00146%,44.73964
magisterk,0.00146%,44.73964
coindisciple,0.00146%,44.73964
drhero555,0.00146%,44.73964
kqryptic,0.00146%,44.73964
skolnickm,0.00146%,44.73964
lebakl,0.00146%,44.73964
zbww,0.00146%,44.73964
sibihh,0.00146%,44.73964
freakcoderz,0.00146%,44.73964
pinkmole13,0.00146%,44.73964
aleksandrliamov,0.00146%,44.73964
byze771,0.00146%,44.73964
zxt1223775363,0.00146%,44.7253
crystaljonah,0.00146%,44.7253
opeyemi97,0.00146%,44.7253
wandiiee,0.00146%,44.7253
chejazi,0.00146%,44.7253
maureen-xie,0.00146%,44.7253
rautkaran,0.00146%,44.7253
bountyhuntern,0.00146%,44.7253
debase-v87,0.00146%,44.7253
altvest,0.00146%,44.7253
apesznz,0.00146%,44.7253
xzxuzhou112,0.00146%,44.7253
dantakum,0.00146%,44.7253
helloboy12345,0.00146%,44.7253
airdropunlimited,0.00146%,44.7253
agin-dropdisco,0.00146%,44.7253
elemuje,0.00146%,44.7253
slefer,0.00146%,44.7253
forteve-team,0.00146%,44.7253
masterbluecompact,0.00146%,44.7253
hsyn1231,0.00146%,44.7253
jun333,0.00146%,44.7253
petre-london,0.00146%,44.7253
fighterp,0.00146%,44.7253
pesobiton,0.00146%,44.7253
jusqueen1,0.00146%,44.7253
jperaza1,0.00146%,44.71428
samczsun,0.00146%,44.6951
gauthierzupp,0.00146%,44.52684
mattkaneartist,0.00145%,44.46745
cqcq001,0.00145%,44.46745
dontcopythatfloppy,0.00145%,44.46745
murderbear,0.00145%,44.46745
sankethbe,0.00145%,44.46745
tman253,0.00145%,44.46745
johnnythefisher,0.00145%,44.44577
ebunayo,0.00145%,44.40159
vanjan,0.00145%,44.38191
artlimber,0.00145%,44.34498
lientje66,0.00145%,44.34498
zhivkoto,0.00145%,44.34498
agarwalyeshu,0.00145%,44.34498
donhojr,0.00145%,44.34498
oussema,0.00145%,44.3258
bibi38,0.00145%,44.31633
dadahaha2020,0.00145%,44.31633
akinh,0.00145%,44.31633
chuletilla,0.00145%,44.31633
seanjcasey,0.00145%,44.31633
javgh,0.00145%,44.31633
spalladino,0.00145%,44.31633
nategeier,0.00145%,44.31633
supermoonkey,0.00145%,44.31633
fulviamorales,0.00145%,44.31633
flosky78,0.00145%,44.31633
snowater06,0.00145%,44.31633
tetioua,0.00145%,44.31633
rhosadah,0.00145%,44.31633
tomoyaigarashi,0.00145%,44.31633
antoineboul,0.00145%,44.31633
terencesflam,0.00145%,44.31633
dxiri,0.00145%,44.31368
pvgupta24,0.00145%,44.31368
cperezcapote,0.00145%,44.29948
profx5,0.00145%,44.29948
jamesdigid,0.00145%,44.29948
dguido,0.00145%,44.29948
dennischann,0.00144%,44.16623
comr8-nga,0.00144%,44.16623
madokaz,0.00144%,44.16623
cheerful888,0.00144%,44.16623
rainanav,0.00144%,44.16623
gentlesimmy,0.00144%,44.16623
abbadmus,0.00144%,44.16623
jaytange,0.00144%,44.16623
milanseedorf,0.00144%,44.16623
dawnlin,0.00144%,44.16623
marlostan,0.00144%,44.16623
sam-mc1,0.00144%,44.16623
gabrelyang,0.00144%,44.16623
horspiroll,0.00144%,44.16623
itrookie,0.00144%,44.16623
lukasyanseu,0.00144%,44.16623
gfrancis13,0.00144%,44.16623
juliusevola,0.00144%,44.16623
1.36E+10,0.00144%,44.16623
oliviertr,0.00144%,44.16623
hui08,0.00144%,44.16623
jamesbaining,0.00144%,44.16623
tianlalu0416,0.00144%,44.16623
trick71,0.00144%,44.16623
foowaa,0.00144%,44.16623
mznick,0.00144%,44.16623
g-max-trader,0.00144%,44.16623
val60101227,0.00144%,44.16623
maelea,0.00144%,44.16623
villageidiotduh,0.00144%,44.14895
schulz3000,0.00144%,44.09437
pertsev,0.00144%,44.00314
lilith1410,0.00144%,43.94702
poocart,0.00144%,43.94702
petarkirov,0.00144%,43.94702
hhhgtr00055,0.00144%,43.94702
synthaman,0.00144%,43.94702
steviedeeee,0.00144%,43.94702
matslats,0.00144%,43.94702
clairvoyantalliance,0.00143%,43.8867
ciedub,0.00143%,43.8867
mohoff,0.00143%,43.74574
christianbundy,0.00143%,43.74574
krisnaer,0.00143%,43.64338
carnalcovin,0.00143%,43.62831
oomaidou,0.00143%,43.60717
enyuchen,0.00143%,43.60717
didi668,0.00143%,43.60717
crypto-ll,0.00143%,43.60717
youqingsheng,0.00143%,43.60717
wangfan741,0.00143%,43.60717
bigjetplanealert,0.00143%,43.60717
zwh-001,0.00143%,43.60717
s707205893,0.00143%,43.60717
sinnersoul1980,0.00143%,43.60717
blackbottle78,0.00143%,43.60717
kzyxyz,0.00143%,43.60717
rameshrao-lab,0.00143%,43.60717
bluz555,0.00143%,43.60717
in0shishid0shi-dev,0.00143%,43.60717
blleone,0.00143%,43.60717
dhoulmagus1977,0.00143%,43.60717
georgepablo901,0.00143%,43.60717
paulopaulo1665,0.00143%,43.60717
rl958,0.00143%,43.60717
winnie-cat,0.00143%,43.60717
yangyi366,0.00143%,43.60717
luungocdung,0.00143%,43.60717
vasilies,0.00143%,43.60717
aznal109,0.00143%,43.60717
12-Mar,0.00143%,43.60717
yousz,0.00143%,43.60717
motarjem24,0.00143%,43.60717
joeyboyeth,0.00143%,43.60717
sayharry,0.00143%,43.60717
adorapham,0.00143%,43.60717
qq506167650,0.00143%,43.60717
siyangsihai,0.00143%,43.60717
defidoner,0.00143%,43.60717
blockheader,0.00143%,43.60717
