handle,token_proportion,tokens
sneg55,0.06%,191.8193967
curadai,0.06%,189.9641384
nanspro,0.06%,189.1240374
cloudydata,0.06%,188.7935447
abashd,0.06%,187.3861599
olivera1234,0.06%,186.6103307
blocknerds,0.06%,186.6103307
michaelcohen716,0.06%,186.0501506
dan-nolan,0.06%,184.8629816
jon-tompkins,0.06%,184.8509729
pelsasser,0.06%,184.4281316
typto,0.06%,184.2420815
karunamudita,0.06%,183.9000875
aliatiia,0.06%,181.8914224
aidanok,0.06%,180.5422205
anonusergitcoin26-f0gjajd4pk2m4r2yxrlvemzou0iquznp,0.06%,179.6441057
anonusergitcoin67-lk9ra3lohr7uevgi93aib7d1tcqxlqjm,0.06%,178.4998973
masaun,0.06%,178.4998973
robsecord,0.06%,178.2649667
afriblockchain,0.05%,177.0487061
twwle,0.05%,175.990419
penandlim,0.05%,175.98044
stefanionescu,0.05%,175.5466048
musnit,0.05%,175.1469353
schaeff,0.05%,174.2774045
hsuantingchu,0.05%,173.0675711
tze42,0.05%,172.1960107
bruce-jun,0.05%,171.4161223
liz315,0.05%,171.4096952
mvglasenapp,0.05%,171.2402204
chrischinchilla,0.05%,171.0832617
gabrielllemic,0.05%,171.0108713
marketsclear,0.05%,170.5498052
nicholasnicky,0.05%,170.4090836
mkosowsk,0.05%,169.6669127
cseproton,0.05%,169.6439101
donkeykongey,0.05%,169.1365006
jvanoers,0.05%,169.1365006
kristofferjon,0.05%,169.1365006
linhan,0.05%,169.1365006
poison20-star,0.05%,169.1365006
stevel247,0.05%,169.1365006
villanuevawill,0.05%,169.1365006
santisiri,0.05%,168.0349146
pupunice,0.05%,167.8933473
yanivtal,0.05%,167.0175585
eswarasai,0.05%,166.9991226
octavioamu,0.05%,165.0978592
wighawag,0.05%,164.5058815
joshuasl,0.05%,163.801428
moxarra,0.05%,162.8821711
atoulme,0.05%,161.9938662
sammdec,0.05%,161.7037971
xbrucethegoose,0.05%,161.4734332
daneok1,0.05%,161.3305128
haoyun-ethplanet,0.05%,160.6998028
409h,0.05%,159.6251095
